Código;Descrição Resumida
100006785;MEDIÇAO GEOTECNICA - INCLINAÇAO
100006784;MEDIÇAO UMIDADE SOLO
100006783;MODULO VAZAO (CANAIS GALERIAS)
100006782;MODULO QUALIDADE AGUA
100006781;MODULO MEDIÇAO ALAGAMENTO VIAS
100006780;MEDIÇAO NIVEL TIPO 2 (POÇO VISITA - PV)
100006779;MEDIÇAO NIVEL TIPO 1 (RESERVATORIOS CANAIS CORREGOS)
100006778;QUADROS TELEMONITORAMENTO CONJUNTO MOTO-BOMBA
100006052;CARABINA CALIBRE 9X19 MM
100005486;PISTOLA CALIBRE 40
100005485;CARABINA TATICA CALIBRE 40
100005290;REVOLVER CALIBRE 38
100004048;ESPINGARDA CALIBRE 12 REPETIÇAO
100004047;LANÇADOR CALIBRE 40MM MUNIÇOES NAO-LETAIS
100003578;PISTOLA SEMIAUTOMATICA CALIBRE 9MM
100005483;DISPOSITIVO RECARGA CALIBRES 380 ACP 40 S&W 9X19MM 38SPL
100005307;KIT PISTOLA CONDUTIVIDADE ELETRICA INCAPACITANTE
100005166;DISPOSITIVO COLETA DADOS SPARK Z2.0
100005024;KIT OPERACIONAL ELETRICO INCAPACITANTE - SPARK Z 2.0
100006558;AERONAVE EVTOL - DECOLAGEM ATERRISAGEM VERTICAL
100003335;JET SKI P/ RESGATE
100002975;JET SKI P/ RESGATE MOTOR 4 TEMPOS
100002185;MOTOR NAUTICO POPA 02 TEMPOS 25 A 30HP
100001856;BOIA SINALIZAÇAO TRES CAMADAS 1200 X 1800MM
100003336;BOTE INFLAVEL P/ RESGATE PESSOAS
100002189;BOTE INFLAVEL P/ 8 PESSOAS
100006691;VEICULO AUTOMOTIVO 0KM 1.0 05 PESSOAS GASOLINA / ALCOOL
100006530;VEICULO ELETRICO P/ TRANSPORTE PACIENTES
100006386;VEICULO ADAPTADO TIPO MICRO-ONIBUS 0KM PASSAGEIROS C/ DEFICIENCIA CADEIRANTE DIFICULDADE LOCOMOÇAO
100006385;VEICULO AUTOMOTIVO TIPO VAN 0KM PASSAGEIRO C/ ACESSIBILIDADE 16 PESSOAS
100006357;EMENDA PARLAMENTAR VEICULO TIPO VAN C/ ACESSIBILIDADE 0 KM
